          Alpha           Beta         Energy       Variance  Mean Distance          Omega Accepted configs (%)
            0.7           0.64      0.0938812     0.00120824        20.3765           0.01        0.63064
            0.7           0.66      0.0940642     0.00125465        20.3297           0.01       0.630387
            0.7           0.68      0.0941511     0.00126518        20.2975           0.01       0.630646
           0.72            0.2       0.086838     0.00035717         22.424           0.01       0.636824
           0.72           0.22      0.0876909    0.000415359        22.0172           0.01       0.636207
           0.72           0.24      0.0883309    0.000471236        21.7486           0.01       0.635563
           0.72           0.26      0.0891625    0.000543694        21.4857           0.01        0.63526
           0.72           0.28      0.0896294    0.000587178        21.3037           0.01       0.635828
           0.72            0.3      0.0901807    0.000648389        21.1672           0.01       0.635355
           0.72           0.32      0.0905966    0.000687934        21.0211           0.01       0.634648
           0.72           0.34      0.0911116    0.000748215        20.8287           0.01       0.634283
           0.72           0.36      0.0912779    0.000767321        20.8096           0.01       0.634061
           0.72           0.38      0.0919868    0.000857605        20.6258           0.01        0.63426
           0.72            0.4      0.0921939    0.000879044        20.5207           0.01        0.63375
           0.72           0.42      0.0920282     0.00088981        20.6211           0.01        0.63291
           0.72           0.44      0.0925789    0.000951497        20.4472           0.01       0.632569
           0.72           0.46      0.0930279    0.000995878        20.3105           0.01       0.633066
           0.72           0.48      0.0929802     0.00102979        20.4234           0.01        0.63214
           0.72            0.5      0.0934148     0.00105005        20.2449           0.01       0.632021
           0.72           0.52      0.0934606     0.00108858        20.2454           0.01       0.631692
           0.72           0.54      0.0938508     0.00113665        20.1491           0.01       0.632468
           0.72           0.56      0.0939762     0.00115782        20.1461           0.01       0.632051
           0.72           0.58      0.0940018     0.00118892        20.1398           0.01       0.631315
           0.72            0.6      0.0944166     0.00122153        19.9904           0.01       0.631122
           0.72           0.62      0.0943008     0.00121598         20.051           0.01       0.631081
           0.72           0.64      0.0944117     0.00125322        20.0352           0.01       0.631255
           0.72           0.66      0.0945382     0.00126875        20.0012           0.01       0.630794
           0.72           0.68      0.0945582     0.00127194         19.984           0.01        0.63079
           0.74            0.2      0.0870872    0.000372795        22.1301           0.01       0.636651
           0.74           0.22      0.0879296    0.000436553        21.7839           0.01       0.637533
           0.74           0.24      0.0885423    0.000490166        21.5443           0.01       0.635502
           0.74           0.26      0.0894789    0.000557029        21.2077           0.01       0.636431
           0.74           0.28      0.0899651        0.00061        21.0537           0.01       0.636204
           0.74            0.3      0.0904787    0.000666555        20.8777           0.01       0.634613
           0.74           0.32      0.0911358     0.00072337        20.6721           0.01       0.634955
           0.74           0.34      0.0914409    0.000770526         20.571           0.01       0.634252
           0.74           0.36      0.0916221    0.000807499        20.5948           0.01        0.63416
           0.74           0.38       0.092373    0.000873398        20.3318           0.01       0.634029
