          Alpha           Beta         Energy       Variance  Mean Distance          Omega Accepted configs (%)
           0.82           0.54        2.02826      0.0228552        2.79535            0.5       0.636545
           0.82           0.56        2.02785       0.023496        2.78666            0.5       0.636751
           0.82           0.58        2.02859      0.0241251        2.78294            0.5       0.636488
           0.82            0.6        2.02821      0.0243365        2.78412            0.5       0.636408
           0.82           0.62        2.02955      0.0254523         2.7737            0.5       0.636547
           0.82           0.64        2.02817      0.0255773        2.76269            0.5       0.636354
           0.82           0.66        2.02924      0.0266887        2.75802            0.5       0.635827
           0.82           0.68        2.02783      0.0265725        2.74848            0.5       0.634632
           0.84            0.2        2.04738       0.026868        3.04778            0.5       0.644285
           0.84           0.22        2.04207      0.0234186        3.01628            0.5       0.643892
           0.84           0.24        2.04024      0.0218338         2.9959            0.5       0.643384
           0.84           0.26        2.03663      0.0201239         2.9697            0.5       0.642641
           0.84           0.28        2.03571      0.0192171         2.9452            0.5       0.641267
           0.84            0.3        2.03226      0.0183206        2.92424            0.5       0.640884
           0.84           0.32        2.02891       0.016874        2.90055            0.5       0.641423
           0.84           0.34        2.02831      0.0166749        2.88294            0.5       0.640401
           0.84           0.36        2.02594      0.0162454        2.86402            0.5       0.640502
           0.84           0.38        2.02736       0.016536        2.86447            0.5       0.639429
           0.84            0.4        2.02695      0.0166122        2.84371            0.5        0.63929
           0.84           0.42        2.02477      0.0164881        2.82489            0.5       0.639364
           0.84           0.44        2.02314      0.0166321        2.81718            0.5       0.638354
           0.84           0.46        2.02276      0.0167111        2.81135            0.5        0.63768
           0.84           0.48        2.02262       0.017238        2.78456            0.5       0.637715
           0.84            0.5        2.02278      0.0178151        2.78182            0.5       0.637604
           0.84           0.52        2.02196      0.0180475        2.77402            0.5       0.637431
           0.84           0.54        2.02191      0.0188415        2.76797            0.5       0.636795
           0.84           0.56        2.02237      0.0193667        2.76496            0.5       0.636453
           0.84           0.58        2.02244      0.0198552        2.76146            0.5       0.636291
           0.84            0.6        2.02223      0.0204526        2.74505            0.5       0.635916
           0.84           0.62        2.02192      0.0212189        2.73841            0.5       0.636114
           0.84           0.64        2.02298      0.0219984        2.71895            0.5       0.635335
           0.84           0.66         2.0218      0.0223057        2.72539            0.5       0.635361
           0.84           0.68        2.02318      0.0234864        2.71686            0.5        0.63495
           0.86            0.2        2.03671      0.0197594        3.00324            0.5       0.644238
           0.86           0.22        2.03424      0.0174805        2.97993            0.5       0.643491
           0.86           0.24        2.03259      0.0159717        2.96599            0.5       0.643858
           0.86           0.26        2.02799      0.0144876        2.92075            0.5       0.642209
           0.86           0.28        2.02604      0.0134328        2.90945            0.5       0.642084
           0.86            0.3        2.02328      0.0126585        2.88093            0.5       0.641275
           0.86           0.32        2.02323      0.0124037        2.86802            0.5       0.640672
           0.86           0.34        2.02111      0.0120168        2.83756            0.5       0.640646
           0.86           0.36        2.02071      0.0121121        2.83558            0.5       0.639848
           0.86           0.38        2.02007      0.0120183        2.81848            0.5       0.638942
           0.86            0.4        2.01989      0.0124152        2.80386            0.5       0.639029
           0.86           0.42        2.01845      0.0126515        2.79147            0.5       0.638415
           0.86           0.44        2.01789      0.0128141        2.78088            0.5       0.637964
           0.86           0.46        2.01829       0.013483        2.76893            0.5        0.63795
           0.86           0.48        2.01795      0.0141354        2.76901            0.5       0.637963
           0.86            0.5        2.01751      0.0145785        2.75305            0.5       0.637673
           0.86           0.52        2.01604      0.0149253        2.74303            0.5       0.637649
           0.86           0.54        2.01723      0.0157711        2.73325            0.5       0.637153
           0.86           0.56        2.01771      0.0164524        2.73109            0.5       0.636121
           0.86           0.58        2.01747      0.0171396        2.71493            0.5       0.636281
           0.86            0.6        2.01663        0.01763        2.71323            0.5        0.63646
           0.86           0.62        2.01784      0.0185989        2.70091            0.5       0.635344
           0.86           0.64        2.01737      0.0193302        2.69692            0.5       0.636029
           0.86           0.66         2.0178       0.020131        2.69022            0.5       0.635746
           0.86           0.68        2.01754      0.0207345        2.68986            0.5       0.635627
           0.88            0.2        2.02916      0.0141694        2.96924            0.5       0.644222
           0.88           0.22        2.02616      0.0121514        2.95052            0.5       0.643521
           0.88           0.24        2.02154      0.0105252        2.90871            0.5       0.644248
           0.88           0.26        2.01955     0.00949353        2.88636            0.5       0.642499
           0.88           0.28        2.01865     0.00888101        2.86304            0.5       0.641426
           0.88            0.3        2.01853      0.0087126        2.85596            0.5       0.640856
           0.88           0.32        2.01556     0.00832143        2.82969            0.5       0.641133
           0.88           0.34        2.01566     0.00845666        2.81405            0.5       0.641146
           0.88           0.36        2.01505     0.00860582        2.80088            0.5        0.63989
           0.88           0.38        2.01346     0.00871054        2.78854            0.5       0.639676
           0.88            0.4        2.01394      0.0093235        2.77251            0.5       0.639696
           0.88           0.42        2.01252     0.00951622        2.75922            0.5        0.63878
           0.88           0.44        2.01237      0.0101676        2.74994            0.5       0.638598
           0.88           0.46        2.01338      0.0109056        2.72815            0.5       0.637832
           0.88           0.48        2.01239      0.0114904        2.72711            0.5       0.637761
           0.88            0.5        2.01209      0.0119498        2.71193            0.5       0.637394
           0.88           0.52        2.01241      0.0128255        2.71097            0.5       0.636586
           0.88           0.54        2.01264      0.0135394        2.70956            0.5       0.635879
           0.88           0.56        2.01344      0.0144373        2.68708            0.5       0.636227
           0.88           0.58        2.01294      0.0151288         2.6895            0.5        0.63756
           0.88            0.6        2.01253      0.0159397        2.68177            0.5       0.635706
           0.88           0.62         2.0126      0.0166687        2.68768            0.5       0.635809
           0.88           0.64         2.0143      0.0178598        2.65645            0.5       0.636153
           0.88           0.66        2.01286      0.0184611        2.66107            0.5       0.636004
           0.88           0.68        2.01399      0.0197894        2.65351            0.5       0.636164
            0.9            0.2        2.02181     0.00947834        2.94509            0.5        0.64415
            0.9           0.22        2.01896     0.00792806        2.90814            0.5       0.644098
            0.9           0.24        2.01782     0.00699637        2.89589            0.5       0.643017
            0.9           0.26         2.0148     0.00610037        2.85944            0.5       0.642922
            0.9           0.28        2.01284     0.00565738        2.83622            0.5       0.642037
            0.9            0.3        2.01205     0.00553745        2.81298            0.5       0.641737
            0.9           0.32        2.01049      0.0054278        2.78934            0.5       0.641576
            0.9           0.34        2.01034      0.0056775        2.78296            0.5       0.640637
            0.9           0.36        2.00977     0.00610513        2.77334            0.5       0.639649
            0.9           0.38         2.0095     0.00662467        2.75329            0.5       0.639952
            0.9            0.4        2.00882     0.00695516         2.7432            0.5       0.639729
            0.9           0.42        2.00879     0.00775933        2.72518            0.5       0.638756
            0.9           0.44         2.0085     0.00835703        2.71924            0.5       0.638143
            0.9           0.46        2.00813     0.00921733        2.69963            0.5       0.638252
            0.9           0.48        2.00824      0.0099442         2.7073            0.5       0.638203
            0.9            0.5        2.00832      0.0107455        2.67717            0.5       0.638328
            0.9           0.52        2.00805      0.0114191        2.68082            0.5       0.637457
            0.9           0.54        2.00905      0.0123852        2.67206            0.5       0.637385
            0.9           0.56        2.00974      0.0134221        2.66225            0.5       0.637876
            0.9           0.58        2.00896      0.0143365        2.65378            0.5       0.636366
            0.9            0.6        2.00926      0.0153358        2.64594            0.5       0.636185
            0.9           0.62        2.00905       0.015865        2.64367            0.5       0.636235
            0.9           0.64        2.01152      0.0174294        2.63629            0.5       0.635918
            0.9           0.66        2.01069      0.0181542        2.63475            0.5       0.635632
            0.9           0.68         2.0101      0.0188967        2.62184            0.5       0.635464
           0.92            0.2        2.01565     0.00588455        2.90935            0.5       0.643798
           0.92           0.22        2.01334     0.00463378         2.8842            0.5        0.64322
           0.92           0.24        2.01192     0.00391593        2.85444            0.5       0.643316
           0.92           0.26        2.00917     0.00346424        2.82194            0.5       0.643538
           0.92           0.28        2.00821      0.0033183        2.80263            0.5       0.642036
           0.92            0.3        2.00765     0.00343863        2.79537            0.5       0.641038
           0.92           0.32        2.00655     0.00362097        2.77123            0.5       0.640933
           0.92           0.34        2.00582     0.00406409         2.7551            0.5        0.64048
           0.92           0.36        2.00569     0.00462395        2.73129            0.5       0.640607
           0.92           0.38         2.0057     0.00531074        2.71542            0.5       0.640307
           0.92            0.4        2.00554     0.00599609        2.70843            0.5       0.638527
           0.92           0.42        2.00536     0.00675608         2.7058            0.5       0.638178
           0.92           0.44        2.00553     0.00760483        2.68964            0.5       0.638363
           0.92           0.46        2.00551     0.00842393        2.67984            0.5       0.638409
           0.92           0.48        2.00536     0.00937624        2.67282            0.5       0.638773
           0.92            0.5        2.00573      0.0103058        2.66891            0.5       0.637895
           0.92           0.52        2.00641      0.0113998        2.65428            0.5         0.6373
           0.92           0.54        2.00636      0.0122844        2.63361            0.5        0.63747
           0.92           0.56        2.00631      0.0133321        2.63866            0.5       0.636818
           0.92           0.58        2.00663      0.0143064        2.62548            0.5       0.636081
           0.92            0.6        2.00696       0.015303        2.62148            0.5       0.635518
           0.92           0.62        2.00801      0.0163771        2.61704            0.5       0.635612
           0.92           0.64        2.00835      0.0175628        2.60819            0.5       0.635618
           0.92           0.66         2.0085      0.0184634        2.60292            0.5       0.636333
           0.92           0.68        2.00765      0.0192431        2.61038            0.5       0.635771
           0.94            0.2         2.0106     0.00318801        2.87239            0.5         0.6446
           0.94           0.22        2.00801     0.00227071        2.85179            0.5       0.643913
           0.94           0.24        2.00632     0.00184042        2.81542            0.5       0.643297
           0.94           0.26        2.00476      0.0017117        2.78232            0.5       0.642559
           0.94           0.28        2.00458     0.00186038         2.7755            0.5       0.641003
           0.94            0.3        2.00375     0.00220402         2.7648            0.5       0.641077
           0.94           0.32        2.00317      0.0026436        2.73479            0.5       0.641692
           0.94           0.34        2.00307     0.00326989        2.71427            0.5       0.641167
           0.94           0.36        2.00209     0.00393684        2.70216            0.5       0.640198
           0.94           0.38        2.00259     0.00477523        2.69068            0.5       0.639991
           0.94            0.4        2.00311      0.0057627        2.67556            0.5        0.63939
           0.94           0.42         2.0028     0.00665215        2.67628            0.5       0.638936
           0.94           0.44        2.00251      0.0075621        2.66596            0.5       0.638201
           0.94           0.46        2.00322     0.00856315        2.64827            0.5       0.638435
           0.94           0.48        2.00394     0.00975772        2.64106            0.5         0.6377
           0.94            0.5        2.00356      0.0107589         2.6383            0.5       0.637832
           0.94           0.52        2.00437      0.0118352        2.61723            0.5       0.637448
           0.94           0.54        2.00439      0.0130505        2.62001            0.5       0.637251
           0.94           0.56        2.00518      0.0141126        2.60997            0.5       0.637255
           0.94           0.58        2.00501      0.0151146        2.60462            0.5       0.636756
           0.94            0.6         2.0056      0.0163335        2.59741            0.5       0.636146
           0.94           0.62        2.00581       0.017181        2.58943            0.5       0.636203
           0.94           0.64        2.00626      0.0183972        2.58354            0.5       0.636105
           0.94           0.66         2.0066      0.0195127        2.58278            0.5       0.634863
           0.94           0.68        2.00746      0.0207245        2.56841            0.5       0.635219
           0.96            0.2        2.00627     0.00135471        2.84261            0.5        0.64442
           0.96           0.22        2.00418    0.000856473        2.81815            0.5       0.642785
           0.96           0.24        2.00294    0.000708544         2.7915            0.5       0.643108
           0.96           0.26        2.00163    0.000846964        2.77022            0.5       0.643276
           0.96           0.28        2.00109     0.00123002        2.74043            0.5       0.642323
           0.96            0.3        2.00098     0.00180909        2.72273            0.5       0.641225
           0.96           0.32        2.00043     0.00250426        2.70792            0.5       0.640563
           0.96           0.34        2.00041     0.00335626        2.69498            0.5       0.640578
           0.96           0.36        2.00106     0.00425975        2.67673            0.5       0.640327
           0.96           0.38        2.00048     0.00516033        2.66333            0.5       0.640342
           0.96            0.4        2.00156     0.00633527        2.64779            0.5       0.639033
           0.96           0.42        2.00102     0.00735471        2.64527            0.5       0.639266
           0.96           0.44        2.00098     0.00841867        2.63639            0.5       0.638541
           0.96           0.46        2.00174     0.00953319        2.61844            0.5       0.638817
           0.96           0.48        2.00288      0.0108174        2.59983            0.5       0.638042
           0.96            0.5        2.00295      0.0120382         2.6005            0.5       0.637764
           0.96           0.52        2.00364      0.0131974        2.58912            0.5       0.637508
           0.96           0.54        2.00365      0.0143861        2.58741            0.5       0.636705
           0.96           0.56        2.00356      0.0156592        2.58392            0.5       0.637594
           0.96           0.58         2.0051      0.0168858        2.56629            0.5       0.637371
           0.96            0.6        2.00333      0.0179458        2.57963            0.5       0.635999
           0.96           0.62        2.00495      0.0191003        2.56346            0.5       0.635868
           0.96           0.64        2.00538      0.0203336        2.55677            0.5       0.636119
           0.96           0.66        2.00704      0.0216883        2.54465            0.5       0.635472
           0.96           0.68        2.00705       0.022823         2.5437            0.5       0.635224
           0.98            0.2         2.0027    0.000374495        2.81711            0.5       0.644321
           0.98           0.22         2.0012    0.000214692        2.77971            0.5       0.643255
           0.98           0.24        2.00014    0.000376227        2.76056            0.5       0.642729
           0.98           0.26         1.9994    0.000790967        2.73636            0.5       0.642026
           0.98           0.28          1.999     0.00142574        2.72052            0.5        0.64162
           0.98            0.3        1.99894     0.00219208        2.69799            0.5        0.64211
           0.98           0.32        1.99933      0.0031117        2.66915            0.5       0.641294
           0.98           0.34        1.99975     0.00412867        2.65255            0.5       0.640689
           0.98           0.36        1.99883     0.00520261        2.65465            0.5       0.639698
           0.98           0.38        1.99946     0.00635118        2.63849            0.5       0.639244
           0.98            0.4        2.00116     0.00759653        2.60814            0.5        0.63954
           0.98           0.42        1.99967     0.00876306        2.61815            0.5       0.639024
           0.98           0.44        2.00045      0.0100273        2.60517            0.5       0.638742
           0.98           0.46        2.00084      0.0112741        2.59579            0.5       0.638484
           0.98           0.48        2.00183      0.0126148        2.58071            0.5       0.638159
           0.98            0.5        2.00124       0.013972        2.58571            0.5       0.637509
           0.98           0.52        2.00151      0.0151892         2.5785            0.5       0.637613
           0.98           0.54        2.00254      0.0165187        2.56809            0.5       0.636429
           0.98           0.56        2.00403       0.018001        2.55264            0.5       0.636292
           0.98           0.58        2.00426      0.0192064        2.54839            0.5       0.636095
           0.98            0.6        2.00511      0.0206078        2.53958            0.5       0.636896
           0.98           0.62        2.00482      0.0215985        2.53756            0.5       0.636272
           0.98           0.64        2.00562      0.0231157        2.53145            0.5       0.636453
           0.98           0.66        2.00582      0.0242928        2.52785            0.5       0.635582
           0.98           0.68        2.00684       0.025627        2.52066            0.5       0.636101
