          Alpha           Beta         Energy       Variance  Mean Distance          Omega
            0.7            0.4        3.99606        0.40762        2.19919              1
            0.7           0.42        3.98023       0.387773        2.18432              1
            0.7           0.44         3.9768       0.384668        2.17763              1
            0.7           0.46        3.97502       0.377884        2.16825              1
            0.7           0.48        3.97516       0.384737        2.16853              1
            0.7            0.5        3.97442       0.377311        2.16206              1
            0.7           0.52         3.9675       0.369247        2.15094              1
            0.7           0.54        3.95825       0.361429         2.1401              1
            0.7           0.56        3.96123       0.364532        2.14164              1
            0.7           0.58        3.95285       0.356313        2.13245              1
            0.7            0.6        3.95289       0.351624        2.12617              1
            0.7           0.62        3.95241       0.350582        2.12729              1
            0.7           0.64        3.94804       0.348326        2.11425              1
            0.7           0.66         3.9544       0.354046         2.1202              1
            0.7           0.68        3.94379       0.337997        2.11202              1
           0.72            0.2        4.03034       0.445449        2.29491              1
           0.72           0.22        4.02212       0.434495        2.28118              1
           0.72           0.24        4.00431       0.409605        2.25689              1
           0.72           0.26        4.00172        0.40147        2.24779              1
           0.72           0.28        3.98929       0.385679        2.23251              1
           0.72            0.3        3.97671       0.373824        2.20786              1
           0.72           0.32        3.97398       0.366509         2.2043              1
           0.72           0.34        3.96519       0.355588        2.18933              1
           0.72           0.36        3.96143       0.349866        2.18283              1
           0.72           0.38        3.95256       0.335474        2.16842              1
           0.72            0.4         3.9508       0.332909        2.16202              1
           0.72           0.42        3.94787        0.32429        2.15564              1
           0.72           0.44         3.9415       0.318409        2.14691              1
           0.72           0.46        3.94626       0.321877        2.14152              1
           0.72           0.48        3.93521       0.311878        2.13648              1
           0.72            0.5        3.93111       0.308596        2.12368              1
           0.72           0.52        3.92757       0.304608        2.11402              1
           0.72           0.54        3.92459       0.297681        2.11025              1
           0.72           0.56        3.91857       0.295708        2.09895              1
           0.72           0.58        3.92115       0.295178        2.09801              1
           0.72            0.6        3.91512       0.287657        2.09183              1
           0.72           0.62         3.9133       0.286839        2.09297              1
           0.72           0.64        3.91832       0.291563        2.08752              1
           0.72           0.66        3.91336       0.284969        2.08434              1
           0.72           0.68        3.92122       0.294817        2.08423              1
           0.74            0.2        3.99498       0.382131         2.2691              1
           0.74           0.22        3.98575       0.367595        2.25202              1
           0.74           0.24        3.96694       0.349049        2.22125              1
           0.74           0.26        3.95069       0.325041        2.20497              1
           0.74           0.28        3.94958       0.317356        2.19556              1
